kw,ts,particles
1,2024-01-01 00:00:00,3.45
2,2024-01-08 00:00:00,3.47
3,2024-01-15 00:00:00,4.30
4,2024-01-22 00:00:00,4.05
5,2024-01-29 00:00:00,3.00
6,2024-02-05 00:00:00,4.75
7,2024-02-12 00:00:00,3.60
8,2024-02-19 00:00:00,null
9,2024-02-26 00:00:00,4.30
10,2024-03-04 00:00:00,4.20
11,2024-03-11 00:00:00,3.40
12,2024-03-18 00:00:00,4.40
13,2024-03-25 00:00:00,3.75
14,2024-04-01 00:00:00,3.00
15,2024-04-08 00:00:00,2.50
16,2024-04-15 00:00:00,3.46
17,2024-04-22 00:00:00,3.40
18,2024-04-29 00:00:00,4.70
19,2024-05-06 00:00:00,4.60
20,2024-05-13 00:00:00,3.43
21,2024-05-20 00:00:00,3.88
22,2024-05-27 00:00:00,3.47
23,2024-06-03 00:00:00,4.50
24,2024-06-10 00:00:00,4.53
25,2024-06-17 00:00:00,3.20
26,2024-06-24 00:00:00,4.20
27,2024-07-01 00:00:00,3.66
28,2024-07-08 00:00:00,4.10
29,2024-07-15 00:00:00,4.10
30,2024-07-22 00:00:00,3.96
31,2024-07-29 00:00:00,null
32,2024-08-05 00:00:00,null
33,2024-08-12 00:00:00,null
34,2024-08-19 00:00:00,null
35,2024-08-26 00:00:00,null
36,2024-09-02 00:00:00,null
37,2024-09-09 00:00:00,null
38,2024-09-16 00:00:00,null
39,2024-09-23 00:00:00,null
40,2024-09-30 00:00:00,null
41,2024-10-07 00:00:00,null
42,2024-10-14 00:00:00,null
43,2024-10-21 00:00:00,null
44,2024-10-28 00:00:00,null
45,2024-11-04 00:00:00,null
46,2024-11-11 00:00:00,null
47,2024-11-18 00:00:00,null
48,2024-11-25 00:00:00,null
49,2024-12-02 00:00:00,null
50,2024-12-09 00:00:00,null
51,2024-12-16 00:00:00,null
52,2024-12-23 00:00:00,null
53,2024-12-30 00:00:00,null
